Codigo,Localidad,ActividadEconomica,Year,PorcUso
3,"SANTA FÉ","COMERCIO",2015,0.100849680
3,"SANTA FÉ","HOTELES",2015,0.017294568
3,"SANTA FÉ","INDUSTRIA",2015,0.000446553
3,"SANTA FÉ","LOTES",2015,0.000000000
3,"SANTA FÉ","OFICINAS",2015,0.298104404
3,"SANTA FÉ","OTROS",2015,0.073094856
3,"SANTA FÉ","RESIDENCIAL",2015,0.437688275
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2015,0.051274937
3,"SANTA FÉ","BODEGAS",2016,0.020071984
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2016,0.000928468
3,"SANTA FÉ","COMERCIO",2016,0.098657914
3,"SANTA FÉ","HOTELES",2016,0.018698909
3,"SANTA FÉ","INDUSTRIA",2016,0.000436096
3,"SANTA FÉ","LOTES",2016,0.000000000
3,"SANTA FÉ","OFICINAS",2016,0.290876861
3,"SANTA FÉ","OTROS",2016,0.072382797
3,"SANTA FÉ","RESIDENCIAL",2016,0.447484023
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2016,0.050462948
3,"SANTA FÉ","BODEGAS",2017,0.020030694
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2017,0.000933580
3,"SANTA FÉ","COMERCIO",2017,0.098831506
3,"SANTA FÉ","HOTELES",2017,0.019856759
3,"SANTA FÉ","INDUSTRIA",2017,0.000438497
3,"SANTA FÉ","LOTES",2017,0.000000000
3,"SANTA FÉ","OFICINAS",2017,0.293178830
3,"SANTA FÉ","OTROS",2017,0.072902883
3,"SANTA FÉ","RESIDENCIAL",2017,0.443331279
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2017,0.050495971
3,"SANTA FÉ","BODEGAS",2018,0.019398427
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2018,0.000922630
3,"SANTA FÉ","COMERCIO",2018,0.098787779
3,"SANTA FÉ","HOTELES",2018,0.019632350
3,"SANTA FÉ","INDUSTRIA",2018,0.000433354
3,"SANTA FÉ","LOTES",2018,0.000000000
3,"SANTA FÉ","OFICINAS",2018,0.289960253
3,"SANTA FÉ","OTROS",2018,0.073059094
3,"SANTA FÉ","RESIDENCIAL",2018,0.447793720
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2018,0.050012394
4,"SAN CRISTÓBAL","BODEGAS",2010,0.018680936
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,0.010107798
4,"SAN CRISTÓBAL","COMERCIO",2010,0.017147280
4,"SAN CRISTÓBAL","HOTELES",2010,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2010,0.005403321
4,"SAN CRISTÓBAL","LOTES",2010,0.000000000
